frame,time_s,side
12,0.408211,left
72,2.449267,left
99,3.367742,left
133,4.524340,left
154,5.238710,left
208,7.075660,left
237,8.062170,left
256,8.708504,left
290,9.865103,left
343,11.668035,left
376,12.790616,left
400,13.607038,left
432,14.695601,left
475,16.158358,left
501,17.042815,left
532,18.097361,left
543,18.471554,left
562,19.117889,left
648,22.043402,left
58,1.973021,right
94,3.197654,right
118,4.014076,right
146,4.966569,right
169,5.748974,right
189,6.429326,right
251,8.538416,right
277,9.422874,right
312,10.613490,right
341,11.600000,right
413,14.049267,right
461,15.682111,right
480,16.328446,right
517,17.587097,right
552,18.777713,right
610,20.750733,right
