side,frame,time_s
left,14,0.4762463343108504
left,29,0.9865102639296187
left,51,1.7348973607038123
left,77,2.6193548387096772
left,104,3.53782991202346
left,135,4.592375366568914
left,158,5.374780058651026
left,172,5.851026392961876
left,186,6.327272727272727
left,214,7.279765395894428
left,241,8.19824046920821
left,260,8.84457478005865
left,292,9.933137829912024
left,329,11.191788856304985
left,348,11.838123167155425
left,379,12.89266862170088
left,404,13.743108504398826
left,437,14.865689149560117
left,478,16.26041055718475
left,501,17.042815249266862
left,535,18.19941348973607
left,567,19.28797653958944
left,587,19.9683284457478
left,603,20.512609970674486
left,642,21.839296187683285
right,34,1.1565982404692081
right,62,2.109090909090909
right,88,2.993548387096774
right,121,4.116129032258065
right,149,5.068621700879765
right,171,5.817008797653958
right,193,6.5653958944281525
right,227,7.72199413489736
right,246,8.3683284457478
right,281,9.558944281524926
right,317,10.78357771260997
right,343,11.668035190615836
right,368,12.518475073313782
right,392,13.334897360703811
right,417,14.18533724340176
right,455,15.478005865102638
right,484,16.46451612903226
right,521,17.72316715542522
right,556,18.913782991202346
right,614,20.886803519061584
right,628,21.363049853372434
right,659,22.41759530791789
